Name	Age		B	T	Ht	Wt	DoB	Yrs	G	GS	Batting	Defense	P	C	1B	2B	3B	SS	LF	CF	RF	OF	DH	PH	PR	WAR	Salary	
Erik Plantenberg	24	us US	R	L	6' 1"	190	Oct 30, 1968	1st	20	0	1	20	20	0	0	0	0	0	0	0	0	0	0	0	0	-0.2		
Dennis Powell	29	us US	R	L	6' 3"	175	Aug 13, 1963	8	33	2	1	33	33	0	0	0	0	0	0	0	0	0	0	0	0	0.6	$175,000	
Ted Power	38	us US	R	R	6' 4"	215	Jan 31, 1955	13	25	0	1	25	25	0	0	0	0	0	0	0	0	0	0	0	0	0.4		
Roger Salkeld	22	us US	R	R	6' 5"	215	Mar 6, 1971	1st	3	2	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0.5		
Mackey Sasser	30	us US	L	R	6' 1"	190	Aug 3, 1962	7	83	46	83	43	0	5	1	0	0	0	26	0	11	37	19	35	0	-1.5	$475,000	
Larry Sheets	33	us US	L	R	6' 3"	217	Dec 6, 1959	8	11	4	11	1	0	0	0	0	0	0	0	0	1	1	5	7	0	-0.2		
Zak Shinall	24	us US	R	R	6' 3"	215	Oct 14, 1968	1st	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0		
Russ Swan	29	us US	L	L	6' 4"	210	Jan 3, 1964	5	23	0	0	23	23	0	0	0	0	0	0	0	0	0	0	0	0	-1.1	$435,000	
Lee Tinsley	24	us US	B	R	5' 11"	190	Mar 4, 1969	1st	11	3	11	6	0	0	0	0	0	0	5	1	1	6	2	6	2	-0.1	$109,000	
Brian Turang	26	us US	R	R	5' 10"	170	Jun 14, 1967	1st	40	36	40	38	0	0	0	1	1	0	26	14	1	38	1	3	1	0.2		
Dave Valle	32	us US	R	R	6' 2"	200	Oct 30, 1960	10	135	133	135	135	0	135	0	0	0	0	0	0	0	0	0	0	1	3.4	$2,366,667	
Fernando Vina	24	us US	L	R	5' 9"	170	Apr 16, 1969	1st	24	12	24	18	0	0	0	16	0	4	0	0	0	0	2	1	10	0.1	$109,000	
Omar Vizquel	26	ve VE	B	R	5' 9"	180	Apr 24, 1967	5	158	150	158	155	0	0	0	0	0	155	0	0	0	0	2	1	3	2.6	$1,112,500	
Dave Wainhouse	25	ca CA	L	R	6' 2"	190	Nov 7, 1967	2	3	0	0	3	3	0	0	0	0	0	0	0	0	0	0	
